id,label,annotator
u1380190106208890884,human,0
u163409644,human,0
u14823322,human,0
u14685658,human,0
u2391451797,human,0
u13062722,human,0
u392219388,human,0
u4308006796,human,0
u17789298,human,0
u492368709,human,0
u128680402,human,0
u320377139,human,0
u2384386292,human,0
u6281882,human,0
u3171122796,human,0
u1352394866211356673,human,0
u371089723,human,0
u130110079,human,0
u1090959385877082113,human,0
u371597970,human,0
u1012955420,human,0
u33520195,human,0
u392857316,human,0
u1135152943076917249,human,0
u15182532,human,0
u858041402,human,0
u1238424838966042624,human,0
u718527904167174144,human,0
u1246156066934730763,human,0
u709780007485362178,human,0
u1030813568457994240,human,0
u494482394,human,0
u383446985,human,0
u57667771,human,0
u1353306974939738113,human,0
u194007148,human,0
u1461473650951999493,human,0
u1295686851160932352,human,0
u1265044627230343168,human,0
u930929248516284417,bot,0
u1059931927422087170,human,0
u765690786,human,0
u61754118,human,0
u3148603093,human,0
u150000919,human,0
u2224202064,human,0
u162450901,human,0
u1037652120160235520,human,0
u1151929036622520321,human,0
u111218905,human,0
u46715219,human,0
u518834269,human,0
u1262015708088557570,human,0
u829803897527140353,human,0
u50317980,human,0
u1174824328636116993,human,0
u1085017422136897537,human,0
u22549062,human,0
u29010564,human,0
u913107955880534032,human,0
u101370819,human,0
u229514217,human,0
u1393282930600939522,human,0
u769123624229933056,human,0
u235500223,not sure,0
u218792844,bot,0
u2275040341,human,0
u205808564,human,0
u120889625,human,0
u608252851,human,0
u947785865937477632,human,0
u218811885,human,0
u1364608723356893185,human,0
u1383825055705047042,human,0
u706972588573069312,human,0
u449639166,bot,0
u1305911138186477569,human,0
u262491911,human,0
u1248677427775180800,human,0
u2716063108,human,0
u964770856688906240,bot,0
u1278373021275901954,human,0
u1459829972420513793,bot,0
u1460464908819054596,bot,0
u1103623571211984896,human,0
u126281856,human,0
u1482473236793376773,bot,0
u316380522,human,0
u2778525401,bot,0
u1183672523889631233,human,0
u1478772435830951941,bot,0
u1407708641277345798,bot,0
u844057662723575808,human,0
u351031965,human,0
u15267655,human,0
u115932651,human,0
u455218394,human,0
u347428904,human,0
u14842798,human,0
u1313889782339178496,human,0
u1477825977774268417,bot,0
u1468278818590838792,human,0
u3508086076,human,0
u362547311,human,0
u1461096275638640651,human,0
u1480643779833090049,human,0
u1484484654652706820,not sure,0
u784804896042278912,bot,0
u342084638,human,0
u208874694,bot,0
u1287467406,human,0
u14848408,human,0
u3237862006,human,0
u103352755,human,0
u83048651,human,0
u1106522459287760902,human,0
u15429623,human,0
u14220032,human,0
u1096538640514248709,human,0
u795290773642215428,human,0
u10081582,human,0
u37195165,bot,0
u1065985512,human,0
u1318273442827952128,human,0
u3348352113,human,0
