,epoch,train_loss,train_acc,train_pre,train_rec,train_f1,train_auc,train_mcc,valid_loss,valid_acc,valid_pre,valid_rec,valid_f1,valid_auc,valid_mcc,test_acc,test_pre,test_rec,test_f1,test_auc,test_mcc
0,0.0,0.7255612015724182,0.4045307443365696,0.9047619047619048,0.06484641638225255,0.12101910828025476,0.5265581055518301,0.12315634888204337,0.7163106799125671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.7090925574302673,0.4034519956850054,0.9024390243902439,0.06313993174061433,0.11802232854864432,0.525704863231011,0.12057645223314527,0.7121050953865051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.7139670252799988,0.4029126213592233,0.9012345679012346,0.06228668941979522,0.11652035115722266,0.5252782420706015,0.11927130745689829,0.708916425704956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.7053922414779663,0.40318230852211434,0.906832298136646,0.06228668941979522,0.11656686626746507,0.5256448109855575,0.12135899035987487,0.7064396142959595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.7020294070243835,0.40183387270765913,0.9144736842105263,0.05930034129692833,0.11137820512820513,0.524884774754036,0.12104504840336992,0.7044463157653809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.6993041038513184,0.3969795037756203,0.9029850746268657,0.05162116040955631,0.0976594027441485,0.52104518431035,0.10875244879555078,0.7028003931045532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.7037166953086853,0.3934735706580367,0.8991596638655462,0.045648464163822525,0.08688591149005279,0.5184254051024392,0.10082606538495513,0.7014173865318298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.7006004452705383,0.3902373247033441,0.8878504672897196,0.04052901023890785,0.07751937984496124,0.5158656781399817,0.09140525712464496,0.700272262096405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.6961073875427246,0.3883495145631068,0.9042553191489362,0.036262798634812285,0.06972928630024611,0.514832279082802,0.09100512952253888,0.6993179321289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.6968146562576294,0.38673139158576053,0.9166666666666666,0.03284982935153584,0.06342668863261945,0.5138589322710758,0.08982805977750652,0.6985138058662415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,0.6975216865539551,0.3818770226537217,0.8939393939393939,0.025170648464163822,0.04896265560165975,0.5100193418273898,0.07308247380376945,0.6978381276130676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,0.6966968178749084,0.37998921251348433,0.9090909090909091,0.021331058020477817,0.041684035014589414,0.5088326844354588,0.07046971553054075,0.6972640156745911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,0.6964115500450134,0.3775620280474649,0.8913043478260869,0.01749146757679181,0.03430962343096235,0.5069128892136159,0.0602334162354668,0.6967735290527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,0.6963364481925964,0.37459546925566345,0.8571428571428571,0.012798634812286689,0.025220680958385876,0.5045664728313632,0.045546223848715886,0.6963523626327515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
